user,vote,star,date,comments
礼物大王,0,5,2018-01-28,什么都可以定制，幸福的最幸苦的工作，幸福可以制造，爱情有什么意义，婚姻有什么意义，你的孩子有50%股份就可以。未来将可能会有奴隶。
潘邓小闲,0,4,2018-01-28,发人深省
Deer0913,0,1,2018-01-28,看不懂，不看了
小橙,0,5,2018-01-28,颠覆认知的一本神作
陈翊,0,4,2018-01-28,书里写的不见得对，但起码提供了一种新的思维。
夏夜洒水车,0,5,2018-01-28,精彩 这两本不带回家 
狩猎奇人,0,4,2018-01-28,感觉比人类简史有意思吧，很多问题也都在思考
艳屑,0,3,2018-01-27,理论和推演都和《人类简史》有较多重复部分。逻辑不够严密啦，只能说还挺有趣
V'endetta,0,3,2018-01-27,可读性很强，像是在听长者讲故事，文字之间的衔接非常流畅思路连贯，读起来很舒服；内容上更像是炒《人类简史》的冷饭，诸如“想象”一类模糊的表达让缺乏专业知识的读者感觉很深刻，但是也因此缺乏精准性，失去了深度；最后关于数据主义以及智能和意识的辩论耐人寻味
仓庚,0,0,2018-01-27,有次回到老家，我老姨说我现在像神人一样。。
韦振山,0,5,2018-01-27,从人类发展，科技，宗教等方面思索其本质。并以此为前提，描绘可能的未来。
🌟happystar,0,4,2018-01-27,贫富差距会越来越大，得数据者得天下
潘达,0,1,2018-01-27,东扯一句西扯一句 看完一段不知道作者要表达什么 理论理论没有 实验实验也没有 就扯些宗教故事 历史野史 我可以竖中指吗
路遥玛丽mary,0,5,2018-01-27,个人感觉还是人类简史更好看
唯有思念堆积,0,4,2018-01-27,人工智能时代么？
笨笨,0,4,2018-01-27,作者的叙事很巧妙，用了很多类比，但反而让人不太安心。如果要把对未来的推测放大到“智人之后”的尺度上，其实就没法借用智人发展史中的经验。而且这本书的叙事永远都是现代人视角（例如农耕社会的宗教如何产生），但事情发生当时的人类并没有先进到现代的水平，这种视角在（历史上的）事实上是否成立是有待商榷的。另外，说到精神内核，我还真没觉得这书有特别的独到之处。作者把人文主义归类为宗教我不反对，但作者自己的精神内核顶多就是个懂电脑的边沁啊……
YOU,0,5,2018-01-27,未来简史围绕三点做了论证与推断：1 人能实现永生不死； 2人能永远幸福快乐；3 从智人到神人的转变。未来会是多久？指数型的加速 可能只有20年30年50年，很快实现。
睡不着的瞌睡虫,0,5,2018-01-27,要一直学习和思考啊
与钟,0,5,2018-01-27,知识零碎看了收获良多，然鹅，记得最清楚的是要学会终身学习
胡子挚,1,5,2018-01-27,沿袭了前作的叙事方式，第一部分为《人类简史》的加强版，把前作中最后一段重复了一遍；第二部分对人文主义进行了一场总批判，深入挖掘了人文主义的基本预设，并揭开了科学进步对人文主义——尤其是自由主义哲学根基挑战的序幕；最后一部分天马行空地描绘了从科技人文主义到数据主义的人类未来发展脉络。有人说作者始终掩盖着自己社会达尔文主义的信仰，我倒觉得作者依然是个铁杆的自由主义者，否则他不会将数据主义世界描绘得如此令人担忧。作者只是意识到了自由人文主义的哲学基础已经被科技发展所撼动，却又苦于无法为人文主义找到新依据而处于深深的忧虑中。对作者来说，如何在科技发展中理性地保留人文主义，才是人类的真正新议题。
招菜,0,4,2018-01-26,人类包容科技发展是为了多样性，科技把人类生活单一化。为了感受生命，就还是过去的想法。
信号调试中,0,4,2018-01-26,本来，在迷茫中我想选择耶稣基督或者释伽牟尼作为人生导师，看完作者的两本书，想想还是算了。还是不要因为信仰为未来的暴力添砖加瓦了。我猜，作者一定是一位马列主义信仰者。
墨驹,0,4,2018-01-26,颠覆人的思考方式
肉肉肉肉,0,4,2018-01-26,从第八章开始才渐渐有意思
KuroLacryma,2,4,2018-01-26,畅销书就是有畅销的道理，读得很开心。还蛮感谢这个作者，可以满足爱好者对这些中学时代就感兴趣，但后来渐渐不再去想的问题的好奇心的。比如科学中的决定论还是随机概率论，实际上都与之矛盾的作为常识的自由意志这类话题，但这位最可贵的一点在于并不把这当成一个没有实际意义的哲学问题而是指出这些作为社会价值观基础的常识实际上正如何面临现代科技的挑战，这种挑战将来又可能如何剧烈地改变社会。和上一本一样思路开阔洞见很多很有启发性，作者的思维方式也很合我胃口，不过相比上一本有点结构不够精美信息密度下降前半段大量重复，而且涉及的问题有点超出作者能力范围导致没法像上一本那么每一个问题都讲得很清晰的感觉，不会像上一本一样让我把英文版也翻出来读一遍，但这一本确实也有很多上一本没有怎么涉及的领域，还是值得一看的
appleye,0,4,2018-01-26,讨论的问题比人类简史更为深入 自由意志真是永恒的话题啊
孙苑中,0,5,2018-01-25,这本书启示我要关注科技未来发展，尤其是计算机科学和生物科学。其他科技发展改变的是人类生产生活方式，但这两个学科的发展可能会改变人类的命运，改变人类在自然界、在地球，甚至是在整个宇宙的位置和角色。
Peterpann,0,4,2018-01-25,说人的至高无上会被解构也许为时过早，但比起需要大量“人”的这几个世纪，主动性会聚集到更少数的人手中。尽管科技巨变会令更多人受惠，但顶层和底层的鸿沟将更难被逾越。
丼,0,5,2018-01-25,脑洞大开的一本书，虽然前半部分推理有点瑕疵，但不影响从第三章开始作者的思维就进入了起飞的模式。对于算法，智能，意识，数据在未来的想象像是破开了一堵墙，让我的思维能够站得更高一些。看完书有一个感叹，也许我们正生活在最好的时代，爱恨都很自由。
夏木,0,4,2018-01-25,仍旧非常精彩，但感官上不如前作，不知道是不是因为前作太惊艳。
龙宇,0,4,2018-01-25,好书 能读下去
西安那么晒,0,2,2018-01-25,以论代史的典范
蜡笔,0,4,2018-01-24,写了一章概况，六章人类发展简史，四章未来超人类、自由主义的威胁、阶级的灭亡、掌控数据和算法的极权精英阶层的产生。AI的确已经是逃不开的事实，但我不认为会出现有机生命体毁灭或被AI控制的事情，政治和经济上就不允许，人机结合才是大方向。
淡定的火焰,0,5,2018-01-24,人在成神的观点非常有意思
Jeany🐳,0,4,2018-01-24,不敢想象后数据时代会发展成什么样子，真的算法会统治世界吗？
秋霆小朋友,0,4,2018-01-26,XX系列里面最喜欢这本~
百危,0,5,2018-01-24,天下大势，浩浩荡荡。顺之则昌，逆之则亡。
桑葚,0,4,2018-01-24,本书可归为黑天鹅
rachelll.d,0,5,2018-01-24,十八星不过分吧？比失控更神的神书，脊背发凉。
starsailor,0,4,2018-01-24,之前几乎没想过书中提到的这些问题，会被未来抛下的旧世界人，也许不是因知识，而是思维方式和根深蒂固的伦理道德。
你猜我猜不猜,0,4,2018-01-24,智能和意识，究竟哪个更有价值？缺失了其中一个人类又何去何从
蓝宫调,0,4,2018-01-23,相比人类简史，这本书很多内容涉及到宗教人文等方面，个人对这部分不是很感兴趣，理解起来也比较难。
阿黄是我,0,5,2018-01-23,未来简史-尤瓦尔 赫拉利（以色列）-20180123
吃饭的帽帽,0,5,2018-01-23,接着《人类简史》的从21世纪开始讲现代社会的人类世界观的变迁。前两部分跟《人人类简史》有很多重复的，第三部分讲人工智能的，推测人工智能对人类社会的颠覆性影响。总体来说，人类只有保持持续的学习才可能不被帅下。
数银子VIP,0,3,2018-01-25,生物科技厉害了。20180125
欢乐仔XRAY,0,5,2018-01-23,本书前面大约一半都在重复介绍《人类简史》里曾经提过的人类发展史，但目的显然是为了最后数据化未来的思路做铺垫。其实想想今日头条一类大数据驱动的App，大概也能猜出一部分人未来的命运。因此这本书最大的价值在于全面分析了科技、文化、社会、宗教发展后，得出了一个较为极端的未来可能，但人类很明显需要去避免这种可能。我以前一直觉得互联网和AI发展越来越快，已经逐渐复杂到了绝大部分人难以理解、难以反抗的程度，恐怕最后只能成为政府和企业的管控和敛财工具，跟这本书的思考有一点重合，所以看起来很对味。
elisa,0,5,2018-01-23,必须阅读的书
摩尔斯基,0,4,2018-01-23,放了一年的书，前几日才打开来读。读完后感觉就像作者拿着一个扩音器对着我喊：“算法、数据、万物互联”以至于这些词一直在脑中徘徊。我常常习惯在接触新思想新观念时保持即包容又怀疑的态度，所以暂且不论作者的观点，姑且拭目以待吧！
徐加哲,0,2,2018-01-22,"中间开始瞎写了, 叫未来简史 完全过誉了."
三木神童,0,4,2018-01-22,欣赏作者万物平等的思想倾向，这跟叔本华的自由意志说有相通之处：人类对所谓灵魂太过自信。但这本书太超前了，并且对于人类成为神的前景太过乐观，这也是跟叔本华不同之处。作者寄希望科技的革命来推动，叔本华寻求自我的革命，两者都是偏颇的。如果我可以，一定写一本关于平衡之道的现实主义哲学。
Yirrit,0,2,2018-01-22,简单的科普读物罢了。。
小凉菜,0,4,2018-01-22,想的很远，以至于我开始学习python，然后成为最终一小撮精英
丘,0,4,2018-01-30,人文主义 -> 数据主义
路人贾,0,4,2018-01-22,我们现在被各种各样的信息流所包围，也在不断产生自己的信息流，科技巨头已经开始变得比我们自己更了解我们，互联网也在一步步的中心化。而政府，只能通过建造一堵堵墙来维持统治，未来，科技能走到哪一步呢？ps:书中好多论点零零散散都已看过，不如人类简史那么有新意。
yamatt,0,3,2018-01-21,没看完…
Juaner,0,5,2018-01-21,"很宏大的书，有让我想学编程搭上末班车的想法。
看到无意义并没办法把我们带往任何地方，加油，过好当下。"
JayWaston,0,4,2018-01-21,展望未来
Zoe🌳,0,5,2018-01-21,尤瓦尔赫拉利是目前唯一一个让我觉得严肃的社科类图书可以写的像一部小说的作家。
蓝雪人。,0,3,2018-01-21,2018.01。  前部分和人类简史确有重合。后部分讲的是人工智能。 当前的我还是相信体验至上，活出有趣的生命才是最重要。将来，也或许我们只需要看理性数据活着，那个时候到底还有什么意义。
画图酱,0,5,2018-01-21,"
"
冰冻面包,0,4,2018-01-21,在车上听晓书童念完了
melody,0,5,2018-01-21,用无法辩驳的逻辑给出了一个无法想象的答案 或许世界的发展本来就是如此呀
Summelon,0,3,2018-01-21,比较快的扫过了，看了另一本英文版，再看这本意义不大，就质量也不如另一本。内容不太规整，有点泛泛而谈咯，很多重复性内容（和人类简史相比）。不如科学杂志严谨，纯属于开脑洞系列，作为畅销书还是有市场的。
快乐居士,0,4,2018-01-21,人类的自我体验很重要
隐空,0,4,2018-01-21,“人们之所以不愿改变，是因为害怕未知。但历史唯一不变的事实，就是一切都会改变。”
我没,0,5,2018-01-25,看这本书时穿的旧袜子上的毛在光线下特别柔顺，我的两个脚看着就像睡着的小狗，可以享受无意义真好。
·端口,0,5,2018-01-21,两极分化让普罗大众无所事事地活着
暴风雪,0,4,2018-01-21,时隔半年终于听了一本书
师北宸,0,5,2018-01-21,对人文主义革命部分的阐述给五星。
偿花,0,4,2018-01-21,可以当做科幻闯作点子灵感集。虽然整本书轻佻且傲慢，还带着作者个人浓重的闭目佯狂气，还有论述技巧上堪称低劣的投机取巧，加之论点本身的薄弱牵强，一切使得这本书比起科普读物更只像一贴浮夸的论坛杂谈，但是不得不承认与感喟，其中诸多令人警醒之处，毛骨悚然之处。
不纠结不无聊,0,5,2018-01-21,看完了，不像《人类简史》全是结论，这本全是推理和预测。
静中花,0,5,2018-01-20,2018年读书计划的第一本书今天读完，本来有好多读后感，但突然不知道从何说起。总体感觉没有《人类简史》那么震撼了，前三分之一部分大多在回顾人类简史，中间三分之一部分我最喜欢，说到人文主义、自由主义等，也是就是二十世纪，而当下是人文主义的末尾（按作者的意思），我个人崇拜人文主义，我认为就是人文主义让我爱上阅读并期望从阅读中探索生命以及人生，这似乎是一种说不清楚的但高尚的行为意识，让我着迷。我不喜欢最后三分之一的部分，所谓的数据主义我不是很认同，数据可以是世界发展的一种手段和过程，我并不认为它可以是一种信仰，因为它太过于理性，显得冷冰冰缺乏人情味儿。可作者又是那么的智慧，在最后三分之一的最后一页为自己的叙述想象作了阐述，解释了只是可能而非寓言，作者真的是人文主义高手，洞悉部分人性。还是值得一读！
王七一,0,0,2018-01-20,作者很有想象力，很多新观点令人深思
ligo,0,5,2018-01-20,以此为起点，去开始你身处现代的思考。
传说中的小黑,0,3,2018-01-20,………哲学书吗
黛今丶,0,5,2018-01-26,长见识长知识
lich,0,5,2018-01-29,数据主义的论证之书吧，有些观点很牵强，但就目前来看，还不失为一个很好的角度看待科技的发展。
natata,0,5,2018-01-20,前半部分没有人类简史惊艳。后半部分，我发现客观部分的自己已经完全投身数据注意，而主观部分的自己还在人文主义上。两年前我把人类的命运总结为“变成电池”，赫拉利成为“芯片”
不是好榨菜,0,2,2018-01-20,不评价。
NaN,0,3,2018-01-20,边际效用减得太厉害，在圈钱吗。
杨波普,0,3,2018-01-20,#20180104##Kindle#作者资料丰富，概括能力较强，略有启发，对于自己原已形成的观点进一步拓展。可是对于科技的解读，还是看看黑镜吧。
孤苏城,0,4,2018-01-20,预测只是预测，未来还是未来
地图空间,0,4,2018-01-29,没有任何其他动物能对抗我们，并不是因为它们没有灵魂或没有心灵，而是因为它们没有必要的想象力。
涛哥降临,0,5,2018-01-19,很好的做到了把未来模型化，可视化，可信化
大茜yo,0,4,2018-01-19,读这本书可以跟着作者一起去畅游未来，让我了解到那些从来没有想到过的事情，拓宽了眼界思维和想象。但是在想象未来的同时我们应该自己去思考，未来到底会是哪样，需要独立思考，每个人想象的未来都不一样，不要完全跟着作者的思维去走。
小左小左就是我,0,4,2018-01-19,被得到占领的豆瓣评分。思想之新奇度广度深度都令人赞叹。珍惜自己的智人时光！
055412,0,0,2018-01-19,2017/08读过。（自藏书）
倦牛刍青青草,0,5,2018-01-19,刷新对未来的认知。
H@X,0,5,2018-01-19,讲述了未来人类面临的新时代的新命题，书中所说的宗教功能远远比我所能想的大，人类或真的会进化为更高级的物种，和克拉克最后一个地球人所述的一样，人类简史，未来简史，之后一定会再看一遍的！
寻找@YOU,0,5,2018-01-19,五星推荐，和国内狂热追捧AI技术不同，作者从更广泛的层面分析了AI技术对人类社会制度、经济发展乃至终极信仰的影响，表达一丝隐忧。
孙妞,0,4,2018-01-19,很清晰，很有启发性，人确实在自己坑自己，不过没有人会想要回到过去的。
黄昏之鸟,0,3,2018-01-19,第一部分跳出自己的领域，明显后劲不足，还显得啰嗦。第二部分讲宗教，科学，人文主义很喜欢。第三部分，脑洞有趣，新颖，但持保留态度，学认知的时候，感叹过人脑之精密和牛逼，不太相信短时间内机器学习能胜出
Yubo,0,4,2018-01-19,看过之后的感受：未来教师是份儿好工作
汪喵,0,5,2018-01-18,想起黑镜里的《DJ》，可能通过算法给你选择的伴侣真的是最合适的。自由主义大势已去。
张杰12605,0,5,2018-01-18,第二遍读未来简史，受益于自己的认知升级和阅读习惯进化，每一章每一段都有全新的感受和体悟。
末日梦想家,0,4,2018-01-18,师弟推荐，不想相信里面的观点，但慢慢看完，就觉得说的还挺有道理的样子，唉哲学和心理学、社会学、伦理学是进步太慢了，只能跟着科学跑。。。。不知道未来究竟会怎样，确实书里的观点很颠覆，大开我的眼界😓希望人类社会越来越好吧，虽然未来有一天算法会控制社会，但愿这只会使我们更好，也不知自己是否会等到那一天
beren,0,3,2018-01-18,说得好玄乎，都有点儿信了，数据主义呵呵，我相信数据和算法会越来越重要，可不相信它能够支配人的信仰。就算人的意识和智能都是生物算法的衍生品，可是不一定用算法就能解释所有的意识甚至智能，就像所有的物质都是原子构成的，可是用原子物理也不能解释所有的科学问题。
乌虚子,0,4,2018-01-18,"看完书后的一些疑问：人文主义会被取代吗，数据替代了思考会怎样，人的艺术和计算机的艺术真正区别在哪里，未来的未来艺术将会以怎样的形式存在，或者还会存在吗
一些感受：想读历史了，看看一个个故事怎样建构又解体；这本书被大众阅读后，未来又会跟之前不一样了
"
Abraxa,0,5,2018-01-18,“数百万年来，人类曾经是升级版的黑猩猩；而到了未来，人类则可能变成放大版的蚂蚁。”“在18世纪，人文主义从以神为中心的世界观走向以人为中心，把神推到了一旁。而在21实际，数据主义则可能从以人为中心走向以数据为中心，把人推到一边。”
Chloe,0,5,2018-01-18,最主要被作者的视角感动 为了一个问题给一个解答的人很多 很少愿意/能够综合起来看 这两本书解决了我很多由于历史发展的个人化分支化造成的困惑
COUNITER,0,5,2018-01-18,时而晦涩，时而明朗。相比未来，我可能更爱现在。
好好先生,0,5,2018-01-18,读过人类简史再读这个会比较容易，思想上也是一脉相承。最深刻的是，了解历史并非要预测未来，而是解放自己。
白夜行者,0,5,2018-01-18,作者格局广阔，思路清晰，博古览今，真是令人叹服，阿西莫夫笔下的天下大同的“盖娅”星系，仿佛就要以“数据主义”的方式实现了。我好像被洗脑了。
殿元小貳,0,5,2018-01-18,没看人类简史，直接看的这本，挺震撼，人类早晚败于算法，早晚灭亡。感觉自己现在就在为数据主义做贡献……
Jet Pan,0,4,2018-01-17,读了人类简史之后，这本书前几章便不太想读，因为都差不多，觉得不如人类简史。但是有一个想法挺好的，就是要变得有钱，去占有社会上稀有资源
未未,0,4,2018-01-17,看完之后好绝望的感觉，在未来的几年内，我们的职业就会这么背替代掉……
珏儿,0,5,2018-01-17,原本是打算读英文版的，但是在机场等飞机实在忍不住就买了本中文版下来，在旅途的这七天中读完了这书。这本书是任何活在这个时代的人都应该看一看的。虽然说主要内容是老生常谈的关于未来科技发展，社会和政治转变的一些内容，不过尤瓦尔在本书所讲的知识真的很系统全面。作为对自己原本知识的补充很有必要。
寄忧,0,3,2018-01-17,有意义的思考，脑袋开启了另一个方向
Ophelia,0,5,2018-01-17,在数据至上的时代，也不要忘记dashwood。
Filmnoir,0,5,2018-01-17,一个关于人类生活的大杂烩，横跨人类学、生物学、计算机科学、心理学的大众读物，虽然理论大多是援引各家成果，但是很多处的提问和实验还是让人眼前一亮，不禁思索！话说这本书从各个角度近10次探及同性恋问题，真是让人惊喜！
瑶光,0,5,2018-01-17,从《人类简史》一路走来，《未来简史》让人心惊肉跳。比起某罗的碎片化阐述，还是应该通读全文了解作者的推导。不管是不是危言耸听，从已知推导未知，没有什么比阴谋论更吸引人。脑洞甚大，希望今年能再读一遍。
W先森,0,5,2018-01-17,"成为神 或是 只相信算法 都是推演出来的某一种可能，但若然在细节上展开则会发现很多不完美的地方。
如果要我来想一种可能性的话，我觉得有一部分人会先进化，但并不是依靠生化技术又或是完全依赖算法。
他们会依靠自身的成长来实现价值。"
木子_Lee,0,3,2018-01-17,跟上一部比，感觉差强人意啊。没凸显出未来何在。
Lucernaire,0,4,2018-01-17,当一个人的观点和我不和时，我就觉得他夹带太多死活。如果他的观点和我不谋而合时，我就觉得他字字珠玑。
zeïn,0,3,2018-01-17,挺好看，但文风依旧如同大型知乎答案。
名字没用的,0,5,2018-01-17,个人觉得比人类简史好，虽然没看过8年前出版的《失控》但是看了目录，觉得有点类似，这本书看起来还是很连贯的，说是颠覆，也是未来
德维,0,4,2018-01-17,人类未来一片灰暗，好多人认为机器人只是按程序行动。然而其已具备了学习能力。若要突破，惟有逻辑。
Captain.OldDog,0,2,2018-01-17,写的有些过于啰嗦，有的小章节感觉完是在为证明自己的理论的搬各种小历史，可还是没啥说服性，最后也就是开通一下脑洞吧，对于一些观点，在之前看的几部电影也就明白了
Vince,0,5,2018-01-17,人文主义让人类把自己交给内心，而崛起的数据主义正在推着人类把自己交给数据的洪流，形成新的神，而自己可能沦为一个个数据处理芯片。生物真的只是算法的集合吗？智能和意识哪个更重要？（现在你把事情交给无意识的智能在处理）。当数据比你更了解你，社会，政治和日常如何变化？没有危言耸听，想想这些问题，怕是怕人类常常无法阻挡自私的恶果，为了追求更健康长寿，更多幸福，神化自己（超人化），结果创造了新的神（数据）
西门飘雪,0,5,2018-01-17,作者对人类发展未来有很多深刻独到的见解，很新颖和有意思，在极速向前飞奔的社会，到底会走到何处，拭目以待
籽君,0,3,2018-01-16,超级超级啰嗦，前50%复述人类简史的内容，后面到80%处，大概讲下什么是人文主义，新时代人文主义过时了，然后是科技人文主义及其矛盾，最后是数据主义，over
梁亮亮,0,5,2018-01-16,很多观点都是从社会制度的角度，很新颖。思路十分超前，让我看到了很多新的可能。
虾皮拌葡萄,0,4,2018-01-16,思路严谨，不那么乐观了
fifi,0,4,2018-01-16,挺有趣的，做实验的和码代码的一直在整幺蛾子23333
杨柳,0,5,2018-01-16,即人类简史之后，作者另一部史诗级巨著，从人类演化规律里，发现未来和探索未来
Xuu,0,5,2018-01-16,"#2018年100本书# 第1本《未来简史》买了快一年今天一口气读完。五星推荐。有趣，有理，有据！旁征博引上下7万年人类社会经济科技发展的关键节点和哲学支撑。重新思考人类主观构建的虚无，迎接那个正被自己阉割的未来……
"
Gnostikoi,0,4,2018-01-15,虽然没有新鲜的观点，但作者总结得相当不错。
李祥同学,0,4,2018-01-15,2018年的第一本书。可能因为我是第一次读这种题材的书，再加上文科背景，感觉还是不是很通俗易懂。所幸学的是data和information相关专业，所以对作者的一些脑洞能够理解。换个角度看待这个世界，充满乐趣和惊奇，给了很多启发。
Candy,0,5,2018-01-15,一夜无眠，完成了最后一章。前半段让我理解了自己如何形成了现在的世界观--自由人文主义，后半段让我恐惧，担忧娃的未来。我很想让她成为那一小部分elite，而不是受苦的大多数。
拷贝,0,4,2018-01-15,没《人类简史》好
丁丁喵不是猫,0,3,2018-01-15,前面都在讲人类的历史和发展，而且不太具有系统性，东拉西扯，拉拉杂杂，讲的也都是我已知的没什么深度的内容。从第280页才开始真正讲未来，但是说得太玄乎太形而上了，不太具备现实的指导意义。
白若北,0,3,2018-01-15,1. 读过《人类简史》的可以读完第一章之后之后直接跳到第八章。2. 了解人工智能的可以不必读这本书了。3. 不具备12的可以读一下。
油纸伞下的晴空,0,4,2018-01-15,只能说，可以提供一个新的思路吧
季杪,0,3,2018-01-28,确实不如《人类简史》，毕竟难度系数：预测未来＞评判当下＞回顾历史。最后一部分的意识频谱、科技人文主义挺有意思。我也患有“错失恐惧症”啊！原来有这么个名。
JQKA,0,4,2018-01-15,开脑洞好多关于未来的社会文明发展的预测
流转的往事,0,3,2018-01-15,有点过誉了，前面几章有点人类简史的赶脚，后面的人工智能才开始有点看头。但是内容很大胆严谨，对未来的预测让人觉得有点后怕
宓薴,0,4,2018-01-14,给思考未来的可能性提供了几种思路
王二又在乱扫弦,0,5,2018-01-14,"两册分了一段时间来看完。自认没有点评的能力，感受倒是不妨说说看。
作者对于历史的溯源让其有能力从当下向未来看过去。任何变革，都需要人具备拉开来看的功力才有可能看得更清晰一些。
历史充满了偶然。全书读下来，我对以往所执着相信的观念都软化了许多。世界变得柔软，甚至可以说再次变得鲜活，让人有去跳入其中出厂改变一二的欲望。
从读者角度我很难放下记忆力的偏见，很难不产生一种全书循环递进得推论数据主义的「危」与「机」的感觉。
与我而言，开放互联网的价值与人文主义，或者说人自身体验的价值一样都需要我们不断思考探索，甚至是保护。
生而为人，上线要有能力高效搜集高质内容以辅助思考，下线要有审美趣味爱好，烧菜，生火，修家用电器。理性与感性，上线与离线，人生的意义若真的有，大概就是寻找这个「度」的过程本身吧。
"
叫B哥居然不合法,0,3,2018-01-14,科普，随便读读，没什么卵用
面包树,0,4,2018-01-14,关于人文主义、文化、宗教的见解，真的有给认识“松绑”的启迪。问题仍在：生命真的只是算法吗？智能和意识哪一个更有价值？数据时代的“人”该做些什么？
仙道菜,0,5,2018-01-14,旧文明必然会被更高水平的新文明所取代。至于人类究竟有没有意识到这点，并不重要。（PS: 书中讨论人到底有没有自主意识的部分着实精彩且骇人~）
尼克察哈尔汗,0,5,2018-01-14,不知道该怎样评论，脑海中就两个字：震撼。觉得自己要花点时间把所有内容和思路拿出来整理一下，看能不能试图反驳一两点。
香草元宵,0,5,2018-01-14,6颗星
Andrew,0,4,2018-01-21,不如人类简史，毕竟未来更难以预测。还是激发了很多思考，尤其最后大章。
pinkypxy,0,3,2018-01-14,冲着年度第一看的，并没有那么好啊，说了很多个人认为是常识的东西…太厚了真是看起来费劲，不喜欢。
小人国的巨人,0,5,2018-01-14,一种从高维看低维的感觉
疯子诶,0,4,2018-01-14,看到了世界的变化，看到了身边人在前面的世界和后面的世界，天天插肩而过的人却分属于不同的世界之中。
Torpedo,0,4,2018-01-13,生物包括人类都是算法，而生物就是算法在处理数据吗？智能与意识开始脱离，以及没有意识的智能可能会比我们自己更了解自己。
jd2011,0,5,2018-01-18,信息量大，作者博学多才，通俗易懂，看这书有一种愉悦感
一二和三四,0,5,2018-01-13,"展望未来，预言了一个新世界。
中间部分略口水。
第一章、第七章、以及第三部分有想法，而且废话较少。
"
十千禾,0,3,2018-01-13,说是“简史”，其实既不简也不史，全是私货。不过在一个小说写手眼里全都是素材倒是真的。
此间的少年,0,5,2018-01-13,这本书的很多观点冲击或者颠覆了我早期形成的中国传统历史观念，并且极大的拓展了我的价值观和世界观的范围。尤其是其中关于人是否有自己意志的观点，冲击了从小形成的刻板而有过时的印象。虽然作者对未来的很多猜想我并非完全同意，甚至觉得有点危言耸听，但是并不妨碍我对于作者缜密的思维和开阔的视野的由衷钦佩和赞叹。可以说这是我今年来最喜欢也收获最大的一本书。
peipei,0,3,2018-01-13,读了人类简史后自然来读这一本。略感失望，观点多数与人类简史有所重复。对于未来的展望并没有想象中大胆充分。或许文字和历史没有足够的能力去描述未来？更像是一本由近现代史谈开来的作品。仍然喜欢作者的叙述方式以及良心的翻译。
没有西瓜的夏天,0,5,2018-01-12,未来，已经到来。
白马非马,0,4,2018-01-12,从引发思考和想象的角度来说就是好书。从古典宗教到现代人文主义，帮我理清了思路。以前说自己是个体验派，现在发现实际上就是个彻底的人文主义者，“生命只有一座要征服的高峰-设法体验一切身为人的感觉”。最后数据主义有点吓人，不过与马爸爸“第三次世界大战”的说法比还是相形见绌，算得上是比较客观的关于人工智能的预测了。
Fay,0,4,2018-01-12,通俗易懂倒是，有点像学术论文
